stop_id	stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	location_type	parent_station
3000	3000	Johnsonville - Stop A	Johnsonville-A	-41.22279	174.80508	3	0	
3081	3081	Johnsonville - Stop B	Johnsonville-B	-41.22289178	174.80526	3	0	
3252	3252	Johnsonville Road (near 147)	JohnsonvilleRd (147)	-41.22671418	174.8074428	3	0	
3254	3254	Centennial Highway at Glover Street	CentennialHwy at Glover	-41.24256197	174.8134883	3	0	
3256	3256	Ngauranga - Hutt Road (next to motorway)	Ngauranga-HuttRd (motorway)	-41.24820366	174.8123829	3	0	
3258	3258	Hutt Road opposite Rangiora Avenue	HuttRd opposite Rangiora	-41.25589184	174.7963112	2/3	0	
3260	3260	Hutt Road at Rangiora Avenue	HuttRd at Rangiora	-41.25552425	174.7967786	2/3	0	
3262	3262	Ngauranga - Hutt Road (opposite motorway)	Ngauranga-HuttRd  (opp motorway)	-41.24752696	174.8127902	3	0	
3264	3264	Ngauranga Commercial Centre	NgaurangaCommercialCtr	-41.24499287	174.8135555	3	0	
3266	3266	Ngauranga Gorge (Kiwi Point)	NgaurangaGorge (KiwiPt)	-41.23835001	174.8056109	3	0	
3268	3268	Johnsonville Road at Disraeli Street	JohnsonvilleRd at Disraeli	-41.22545745	174.8071696	3	0	
3809	3809	Burma Road near Haumia Street	BurmaRd nr Haumia	-41.229609	174.799963	3	0	
3810	3810	Malvina Major Retirement Village	MMRetirementVlg	-41.2337925	174.798331	3	0	
3825	3825	Burma Road near Haumia Street (Raroa Intermediate)	RaroaInterSch	-41.2297734	174.799941	3	0	
4113	4113	Murphy Street - Wellington Girls' College	MurphySt-WgtnGirls'Coll	-41.27533423	174.7797709	1	0	
4114	4114	Murphy Street - Motorway	MurphySt-Motorway	-41.27238623	174.7779328	1	0	
4115	4115	Park Street at Burnell Avenue	ParkSt at Burnell	-41.27132139	174.7771548	1	0	
4116	4116	Grant Road (opposite 25)	GrantRd (opp 25)	-41.2686	174.77895	1/2	0	
4117	4117	Grosvenor Terrace opposite Orchard Street	GrosvenorTce opp Orchard	-41.26722742	174.7797894	2	0	
4118	4118	Grosvenor Terrace (near 22)	GrosvenorTce (22)	-41.26596307	174.7799442	2	0	
4119	4119	Barnard Street at Lennel Road	BarnardSt at Lennel	-41.26513078	174.7814038	2	0	
4120	4120	Lennel Road at Sefton Street	LennelRd at Sefton	-41.26409097	174.7787493	2	0	
4121	4121	Lennel Road at Moorhouse Street	LennelRd at Moorhouse	-41.26258434	174.7771565	2	0	
4122	4122	Wadestown Road opposite Pitt Street	WadestownRd opp Pitt	-41.2617906	174.7760607	2	0	
4123	4123	Wadestown Shops (near 98)	WadestownShops (98)	-41.26181268	174.7746288	2	0	
4125	4125	Wadestown Road opposite Lytton Street	WadestownRd opp Lytton	-41.2615297	174.7696077	2	0	
4126	4126	Wilton Road at Blackbridge Road	WiltonRd at Blackbridge	-41.2616407	174.7669997	2	0	
4127	4127	Wilton Road opposite Purakau Avenue	WiltonRd opp Purakau	-41.26213039	174.7656847	2	0	
4128	4128	Izard Park - Wilton Road	IzardPk-WiltonRd	-41.26440689	174.7640748	2	0	
4129	4129	Wilton Road (near 74)	WiltonRd (74)	-41.26622588	174.7629299	2	0	
4130	4130	Wilton Road at Warwick Street	WiltonRd at Warwick	-41.26797856	174.7602313	2	0	
4131	4131	Warwick Street at Gloucester Street	WarwickSt at Gloucester	-41.26866134	174.7595191	2	0	
4132	4132	Gloucester Street (near 14)	GloucesterSt (14)	-41.26917456	174.7585921	2	0	
4133	4133	Gloucester Street at Worcester Street (near 22)	GloucesterSt at Worcester (22)	-41.26992401	174.756702	2	0	
4134	4134	Otari School - Otari-Wilton's Bush	OtariSch-Otari-WiltonsBush	-41.26820968	174.7568948	2	0	
4135	4135	Wilton Park - Wilton Road	WiltonPk-WiltonRd	-41.26967939	174.7550241	2	0	
4136	4136	Wilton - Surrey Street	Wilton-SurreySt	-41.27139189	174.7549506	2	0	
4137	4137	Churchill Drive near Bowen Hospital	ChurchillDr nr Hospital	-41.25964154	174.7662305	3	0	
4138	4138	Churchill Drive near Crofton Downs Shops	ChurchillDr nr CroftonDnsShops	-41.25696771	174.7654005	3	0	
4139	4139	Cardinal McKeefry School - Wilton Road	CardinalMcKeefrySch-WiltonRd	-41.27542347	174.756372	2	0	
4311	4311	Bowen Street (near 38)	BowenSt (38)	-41.27862	174.7749	1	0	
4312	4312	Tinakori Road at St Mary Street	TinakoriRd at StMary	-41.27929047	174.7685352	1	0	
4313	4313	Botanic Garden - Glenmore Street (opposite)	BotanicGdn-GlenmoreSt (opp)	-41.28057662	174.7668983	1/2	0	
4314	4314	Glenmore Street at Garden Road	GlenmoreSt at Garden	-41.28248936	174.7632456	2	0	
4315	4315	Glenmore Street at Orangi Kaupapa Road	GlenmoreSt at OrangiKaupapa	-41.28344091	174.7621992	2	0	
4316	4316	Glenmore Street at The Rigi	GlenmoreSt at Rigi	-41.28575022	174.7584401	2	0	
4317	4317	Glenmore Street at Kelburn Viaduct	GlenmoreSt at Viaduct	-41.28783562	174.7575408	2	0	
4319	4319	Karori Tunnel - Stop A	KaroriTnl-A	-41.28703441	174.7569222	2	0	
