line_id	stop_id	time_from_start
CCL_1	KELB	0
CCL_1	SALA	77
CCL_1	TALA	146
CCL_1	CLIF	218
CCL_1	LAMB	300
CCL_0	LAMB	0
CCL_0	CLIF	81
CCL_0	TALA	153
CCL_0	SALA	222
CCL_0	KELB	300
2_0	5000	0
2_0	5002	62
2_0	5515	156
2_0	5006	240
2_0	5008	341
2_0	5010	443
2_0	5012	486
2_0	5015	600
2_0	5312	720
2_0	5313	746
2_0	5315	819
2_0	5316	864
2_0	5317	903
2_0	5318	924
2_0	5319	960
2_0	5320	1002
2_0	5321	1053
2_0	5322	1091
2_0	5323	1151
2_0	5324	1209
2_0	5325	1289
2_0	5326	1312
2_0	5327	1348
2_0	5328	1383
2_0	5329	1433
2_0	5330	1471
2_0	5331	1524
2_0	5332	1560
2_1	4332	0
2_1	4331	36
2_1	4330	76
2_1	4329	93
2_1	4328	147
2_1	4327	184
2_1	4326	205
2_1	4325	217
2_1	4324	274
2_1	4323	325
2_1	4322	364
2_1	4321	400
2_1	4320	446
2_1	4319	480
2_1	4317	529
2_1	4316	562
2_1	4315	616
2_1	4314	634
2_1	4313	683
2_1	4312	709
2_1	4311	796
2_1	5502	840
2_1	5506	947
2_1	5508	1017
2_1	5510	1138
2_1	5513	1257
2_1	5514	1360
2_1	5516	1440
22_1	3081	0
22_1	3825	122
22_1	3810	189
22_1	5469	233
22_1	5460	348
22_1	5461	416
22_1	4422	453
22_1	4421	468
22_1	4420	496
22_1	4419	540
22_1	4418	562
22_1	4417	594
22_1	4416	621
22_1	4457	662
22_1	4456	690
22_1	4455	709
22_1	4454	728
22_1	4453	750
22_1	4452	769
22_1	4451	807
22_1	4450	833
22_1	4449	861
22_1	4138	1022
22_1	4137	1068
22_1	4129	1224
22_1	4936	1260
22_1	4935	1327
22_1	4934	1360
22_1	4932	1401
22_1	4931	1438
22_1	4930	1489
22_1	4929	1535
22_1	4928	1602
22_1	4927	1650
22_1	4926	1692
22_1	4925	1726
22_1	4924	1748
22_1	4923	1799
22_1	4922	1854
22_1	4921	1896
22_1	4320	1934
22_1	4319	1980
22_1	4918	2043
22_1	4917	2081
22_1	4916	2145
22_1	4915	2220
22_1	4914	2462
22_1	4913	2638
22_1	4912	2720
22_1	4911	2784
22_1	5016	2940
22_1	5016	2979
22_1	5111	2987
22_1	5112	3023
22_1	4113	3044
22_0	6001	0
22_0	5911	113
22_0	5912	151
22_0	5913	206
22_0	5914	344
22_0	5915	480
22_0	5916	549
22_0	5917	600
22_0	5918	645
22_0	5319	720
22_0	5920	769
22_0	5921	801
22_0	5922	855
22_0	5923	916
22_0	5924	972
22_0	5925	1000
22_0	5926	1048
22_0	5927	1096
22_0	5928	1144
22_0	5929	1222
22_0	5930	1285
22_0	5931	1326
22_0	5932	1363
22_0	5933	1393
22_0	5934	1418
22_0	5935	1458
22_0	5936	1560
22_0	5129	1581
22_0	5136	1652
22_0	5138	1745
22_0	5449	1885
22_0	5450	1911
22_0	5451	1931
22_0	5452	1960
22_0	5453	1975
22_0	5454	1993
22_0	5455	2008
22_0	5456	2028
22_0	5457	2050
22_0	5416	2081
22_0	5417	2104
22_0	5418	2134
22_0	5419	2160
22_0	5420	2219
22_0	5421	2254
22_0	5422	2287
22_0	4461	2340
22_0	4460	2453
22_0	4469	2646
22_0	4470	2720
22_0	3809	2809
22_0	3000	3000
21_1	4396	0
21_1	4395	63
21_1	4394	103
21_1	4393	131
21_1	4392	163
21_1	4391	228
21_1	4390	292
21_1	4389	361
21_1	4388	422
21_1	4387	460
21_1	4386	499
21_1	4385	543
21_1	4384	598
21_1	4383	639
21_1	4382	666
21_1	4381	714
21_1	4320	844
21_1	4319	900
21_1	4918	963
21_1	4917	1001
21_1	4916	1065
21_1	4915	1140
21_1	6906	1363
21_1	6908	1542
21_1	6909	1629
21_1	7910	1699
21_1	5514	1771
21_1	5516	1860
21_0	5000	0
21_0	5002	50
21_0	6910	94
21_0	7909	158
21_0	7908	233
21_0	7907	305
21_0	5914	382
21_0	5915	540
21_0	5916	644
21_0	5917	720
21_0	5918	788
21_0	5319	900
21_0	5380	951
21_0	5381	1045
21_0	5382	1088
21_0	5383	1109
21_0	5384	1152
21_0	5385	1193
21_0	5386	1234
21_0	5388	1293
21_0	5389	1355
21_0	5390	1421
21_0	5391	1473
21_0	5392	1522
21_0	5393	1549
21_0	5394	1574
21_0	5395	1602
21_0	5327	1740
18_1	7914	0
18_1	7913	82
18_1	7912	183
18_1	7911	263
18_1	7909	360
18_1	7908	431
18_1	7907	500
18_1	5914	573
18_1	5915	720
18_1	5916	789
18_1	5917	840
18_1	5918	885
18_1	5319	960
18_1	5320	1015
18_1	5321	1082
18_1	5322	1131
18_1	5323	1209
18_1	5324	1285
18_1	5325	1389
18_1	5326	1419
18_1	5327	1466
18_1	5328	1512
18_1	5329	1577
18_1	5330	1626
18_1	5331	1696
18_1	5332	1740
18_0	4332	0
18_0	4331	40
18_0	4330	85
18_0	4329	104
18_0	4328	165
18_0	4327	206
18_0	4326	230
18_0	4325	244
18_0	4324	308
18_0	4323	366
18_0	4322	410
18_0	4321	451
18_0	4320	502
18_0	4319	540
18_0	4918	618
18_0	4917	666
18_0	4916	746
18_0	4915	840
18_0	6906	976
18_0	6908	1085
18_0	6909	1140
18_0	6911	1252
18_0	6913	1374
18_0	6914	1500
37_0	5520	0
37_0	5012	14
37_0	5015	71
37_0	5911	121
37_0	5912	150
37_0	5913	191
37_0	5914	295
37_0	5915	396
37_0	5916	448
37_0	5917	487
37_0	5918	521
37_0	5319	576
37_0	5380	619
37_0	5381	700
37_0	5382	737
37_0	5383	755
37_0	5384	792
37_0	5385	827
37_0	5386	863
37_0	5388	913
37_0	5389	967
37_0	5390	1024
37_0	5391	1068
37_0	5392	1110
37_0	5393	1133
37_0	5394	1154
37_0	5395	1178
37_0	5327	1296
37_1	4396	0
37_1	4395	51
37_1	4394	83
37_1	4393	105
37_1	4392	131
37_1	4391	182
37_1	4390	233
37_1	4389	289
37_1	4388	338
37_1	4387	368
37_1	4386	400
37_1	4385	435
37_1	4384	479
