stop_id	 stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	location_type	parent_station
A	A	Stop A	-	-41.26	174.77	3	0
B	B	Stop B	-	-41.259	174.775	3	0
C	C	Stop C	-	-41.259	174.78	3	0
D	D	Stop D	-	-41.259	174.785	3	0
E	E	Stop E	-	-41.259	174.79000000000002	3	0
F	F	Stop F	-	-41.254	174.79500000000002	3	0
G	G	Stop G	-	-41.259	174.8	3	0
H	H	Stop H	-	-41.259	174.805	3	0
I	I	Stop I	-	-41.259	174.81	3	0
J	J	Stop J	-	-41.259	174.815	3	0
K	K	Stop K	-	-41.26	174.82000000000002	3	0
L	L	Stop L	-	-41.257	174.823	3	0
M	M	Stop M	-	-41.254	174.817	3	0
N	N	Stop N	-	-41.251	174.823	3	0
O	O	Stop O	-	-41.248	174.817	3	0
P	P	Stop P	-	-41.245	174.823	3	0
Q	Q	Stop Q	-	-41.242	174.817	3	0
R	R	Stop R	-	-41.239999999999995	174.82000000000002	3	0
S	S	Stop S	-	-41.25	174.77	3	0
T	T	Stop T	-	-41.248	174.782	3	0
U	U	Stop U	-	-41.251	174.79000000000002	3	0
V	V	Stop V	-	-41.239999999999995	174.78	3	0
W	W	Stop W	-	-41.241	174.79000000000002	3	0
X	X	Stop X	-	-41.239	174.8	3	0
Y	Y	Stop Y	-	-41.23	174.77	3	0
Z	Z	Stop Z	-	-41.23	174.79000000000002	3	0
AA	AA	Stop AA	-	-41.25	174.8	3	0
BB	BB	Stop BB	-	-41.25	174.815	3	0
CC	CC	Stop CC	-	-41.245	174.815	3	0
